date, confirmed_cases, recovered_cases, total_deaths
22/01/2020,0,0,0
23/01/2020,0,0,0
24/01/2020,0,0,0
25/01/2020,0,0,0
26/01/2020,0,0,0
27/01/2020,0,0,0
28/01/2020,0,0,0
29/01/2020,0,0,0
30/01/2020,1,0,0
31/01/2020,1,0,0
01/02/2020,1,0,0
02/02/2020,2,0,0
03/02/2020,3,0,0
04/02/2020,3,0,0
05/02/2020,3,0,0
06/02/2020,3,0,0
07/02/2020,3,0,0
08/02/2020,3,0,0
09/02/2020,3,0,0
10/02/2020,3,0,0
11/02/2020,3,0,0
12/02/2020,3,0,0
13/02/2020,3,0,0
14/02/2020,3,0,0
15/02/2020,3,0,0
16/02/2020,3,3,0
17/02/2020,3,3,0
18/02/2020,3,3,0
19/02/2020,3,3,0
20/02/2020,3,3,0
21/02/2020,3,3,0
22/02/2020,3,3,0
23/02/2020,3,3,0
24/02/2020,3,3,0
25/02/2020,3,3,0
26/02/2020,3,3,0
27/02/2020,3,3,0
28/02/2020,3,3,0
29/02/2020,3,3,0
01/03/2020,3,3,0
02/03/2020,5,3,0
03/03/2020,5,3,0
04/03/2020,28,3,0
05/03/2020,30,3,0
06/03/2020,31,3,0
07/03/2020,34,3,0
08/03/2020,39,3,0
09/03/2020,43,3,0
10/03/2020,56,4,0
11/03/2020,62,4,1
12/03/2020,73,4,1
13/03/2020,82,4,2
14/03/2020,102,4,2
15/03/2020,113,13,2
16/03/2020,119,13,2
17/03/2020,142,14,3
18/03/2020,156,14,3
19/03/2020,194,15,4
20/03/2020,244,20,5
21/03/2020,330,23,4
22/03/2020,396,27,7
23/03/2020,499,27,10
24/03/2020,536,40,10
25/03/2020,657,43,12
26/03/2020,727,45,20
27/03/2020,887,73,20
28/03/2020,987,84,24
29/03/2020,1024,95,27
30/03/2020,1251,102,32
31/03/2020,1397,123,35
01/04/2020,1998,148,58
02/04/2020,2543,191,72
03/04/2020,2567,192,72
04/04/2020,3082,229,86
05/04/2020,3588,229,99
06/04/2020,4778,375,136
07/04/2020,5311,421,150
08/04/2020,5916,506,178
09/04/2020,6725,620,226
10/04/2020,7598,774,246
11/04/2020,8446,969,288
12/04/2020,9205,1080,331
13/04/2020,10453,1181,358
14/04/2020,11487,1359,393
15/04/2020,12322,1432,405
16/04/2020,13430,1768,448
17/04/2020,14352,2041,486
18/04/2020,15722,2463,521
19/04/2020,17615,2854,559
20/04/2020,18539,3273,592
